"","team_name","game_date","season","period","minutes_remaining","seconds_remaining","shot_made_flag","action_type","shot_type","shot_distance","opponent","x","y","name","minute"
"1","Golden State Warriors","3/5/17",2016,3,7,50,"shot_yes","Alley Oop Layup shot","2PT Field Goal",1,"New York Knicks",17,2,"Draymond Green",29
"2","Golden State Warriors","12/30/16",2016,3,7,48,"shot_yes","Alley Oop Layup shot","2PT Field Goal",1,"Dallas Mavericks",9,7,"Draymond Green",29
"3","Golden State Warriors","1/16/17",2016,1,9,6,"shot_yes","Alley Oop Layup shot","2PT Field Goal",1,"Cleveland Cavaliers",4,11,"Draymond Green",3
"4","Golden State Warriors","12/7/16",2016,2,0,43,"shot_yes","Cutting Dunk Shot","2PT Field Goal",0,"Los Angeles Clippers",0,1,"Draymond Green",24
"5","Golden State Warriors","11/19/16",2016,1,8,43,"shot_yes","Cutting Dunk Shot","2PT Field Goal",0,"Milwaukee Bucks",0,1,"Draymond Green",4
"6","Golden State Warriors","1/22/17",2016,3,9,27,"shot_yes","Cutting Dunk Shot","2PT Field Goal",0,"Orlando Magic",0,1,"Draymond Green",27
"7","Golden State Warriors","11/4/16",2016,4,6,6,"shot_yes","Cutting Dunk Shot","2PT Field Goal",0,"Los Angeles Lakers",0,1,"Draymond Green",42
"8","Golden State Warriors","3/16/17",2016,3,1,20,"shot_yes","Cutting Dunk Shot","2PT Field Goal",0,"Orlando Magic",0,1,"Draymond Green",35
"9","Golden State Warriors","2/4/17",2016,4,0,57,"shot_yes","Cutting Dunk Shot","2PT Field Goal",0,"Sacramento Kings",0,1,"Draymond Green",48
"10","Golden State Warriors","12/20/16",2016,3,3,22,"shot_yes","Cutting Dunk Shot","2PT Field Goal",0,"Utah Jazz",0,1,"Draymond Green",33
"11","Golden State Warriors","1/2/17",2016,1,10,50,"shot_yes","Cutting Dunk Shot","2PT Field Goal",0,"Denver Nuggets",0,1,"Draymond Green",2
"12","Golden State Warriors","12/25/16",2016,4,1,31,"shot_yes","Cutting Dunk Shot","2PT Field Goal",0,"Cleveland Cavaliers",0,1,"Draymond Green",47
"13","Golden State Warriors","11/21/16",2016,1,8,13,"shot_yes","Cutting Dunk Shot","2PT Field Goal",0,"Indiana Pacers",0,1,"Draymond Green",4
"14","Golden State Warriors","1/20/17",2016,2,2,22,"shot_yes","Cutting Dunk Shot","2PT Field Goal",0,"Houston Rockets",0,1,"Draymond Green",22
"15","Golden State Warriors","2/27/17",2016,1,5,36,"shot_yes","Cutting Dunk Shot","2PT Field Goal",0,"Philadelphia 76ers",0,1,"Draymond Green",7
"16","Golden State Warriors","11/16/16",2016,2,3,43,"shot_yes","Cutting Dunk Shot","2PT Field Goal",0,"Toronto Raptors",0,1,"Draymond Green",21
"17","Golden State Warriors","2/27/17",2016,4,4,21,"shot_yes","Cutting Dunk Shot","2PT Field Goal",0,"Philadelphia 76ers",0,1,"Draymond Green",44
"18","Golden State Warriors","11/9/16",2016,4,8,48,"shot_yes","Cutting Dunk Shot","2PT Field Goal",0,"Dallas Mavericks",0,1,"Draymond Green",40
"19","Golden State Warriors","12/7/16",2016,1,6,31,"shot_yes","Cutting Dunk Shot","2PT Field Goal",0,"Los Angeles Clippers",0,1,"Draymond Green",6
"20","Golden State Warriors","3/28/17",2016,1,9,6,"shot_yes","Cutting Dunk Shot","2PT Field Goal",0,"Houston Rockets",0,1,"Draymond Green",3
"21","Golden State Warriors","3/20/17",2016,3,9,8,"shot_no","Cutting Dunk Shot","2PT Field Goal",0,"Oklahoma City Thunder",0,1,"Draymond Green",27
"22","Golden State Warriors","3/18/17",2016,1,1,7,"shot_yes","Cutting Dunk Shot","2PT Field Goal",0,"Milwaukee Bucks",0,1,"Draymond Green",11
"23","Golden State Warriors","11/19/16",2016,1,8,19,"shot_yes","Cutting Dunk Shot","2PT Field Goal",0,"Milwaukee Bucks",0,1,"Draymond Green",4
"24","Golden State Warriors","10/30/16",2016,1,1,58,"shot_yes","Cutting Dunk Shot","2PT Field Goal",0,"Phoenix Suns",0,1,"Draymond Green",11
"25","Golden State Warriors","3/21/17",2016,2,3,24,"shot_yes","Cutting Dunk Shot","2PT Field Goal",0,"Dallas Mavericks",0,1,"Draymond Green",21
"26","Golden State Warriors","12/25/16",2016,2,8,48,"shot_yes","Cutting Layup Shot","2PT Field Goal",0,"Cleveland Cavaliers",-6,7,"Draymond Green",16
"27","Golden State Warriors","1/25/17",2016,3,6,54,"shot_yes","Cutting Layup Shot","2PT Field Goal",1,"Charlotte Hornets",-17,2,"Draymond Green",30
"28","Golden State Warriors","11/13/16",2016,4,2,39,"shot_yes","Cutting Layup Shot","2PT Field Goal",0,"Phoenix Suns",1,8,"Draymond Green",46
"29","Golden State Warriors","10/25/16",2016,1,9,28,"shot_no","Cutting Layup Shot","2PT Field Goal",1,"San Antonio Spurs",-19,3,"Draymond Green",3
"30","Golden State Warriors","12/15/16",2016,3,9,39,"shot_yes","Cutting Layup Shot","2PT Field Goal",1,"New York Knicks",0,13,"Draymond Green",27
"31","Golden State Warriors","1/29/17",2016,1,6,16,"shot_yes","Cutting Layup Shot","2PT Field Goal",1,"Portland Trail Blazers",-15,-1,"Draymond Green",6
"32","Golden State Warriors","1/2/17",2016,4,0,53,"shot_yes","Cutting Layup Shot","2PT Field Goal",2,"Denver Nuggets",6,21,"Draymond Green",48
"33","Golden State Warriors","12/28/16",2016,3,7,14,"shot_yes","Cutting Layup Shot","2PT Field Goal",0,"Toronto Raptors",4,8,"Draymond Green",29
"34","Golden State Warriors","2/11/17",2016,2,10,37,"shot_yes","Cutting Layup Shot","2PT Field Goal",1,"Oklahoma City Thunder",-19,-6,"Draymond Green",14
"35","Golden State Warriors","11/9/16",2016,1,2,15,"shot_yes","Cutting Layup Shot","2PT Field Goal",1,"Dallas Mavericks",1,11,"Draymond Green",10
"36","Golden State Warriors","2/10/17",2016,2,3,16,"shot_yes","Cutting Layup Shot","2PT Field Goal",0,"Memphis Grizzlies",-9,2,"Draymond Green",21
"37","Golden State Warriors","10/25/16",2016,2,6,14,"shot_yes","Cutting Layup Shot","2PT Field Goal",1,"San Antonio Spurs",4,16,"Draymond Green",18
"38","Golden State Warriors","11/25/16",2016,1,4,14,"shot_yes","Cutting Layup Shot","2PT Field Goal",2,"Los Angeles Lakers",-21,-2,"Draymond Green",8
"39","Golden State Warriors","12/28/16",2016,2,4,16,"shot_yes","Cutting Layup Shot","2PT Field Goal",0,"Toronto Raptors",-6,7,"Draymond Green",20
"40","Golden State Warriors","12/7/16",2016,3,11,38,"shot_yes","Cutting Layup Shot","2PT Field Goal",2,"Los Angeles Clippers",12,16,"Draymond Green",25
"41","Golden State Warriors","11/25/16",2016,2,6,17,"shot_no","Cutting Layup Shot","2PT Field Goal",2,"Los Angeles Lakers",1,21,"Draymond Green",18
"42","Golden State Warriors","1/18/17",2016,1,7,54,"shot_no","Cutting Layup Shot","2PT Field Goal",2,"Oklahoma City Thunder",-16,21,"Draymond Green",5
"43","Golden State Warriors","12/5/16",2016,3,3,40,"shot_yes","Cutting Layup Shot","2PT Field Goal",1,"Indiana Pacers",-2,13,"Draymond Green",33
"44","Golden State Warriors","11/7/16",2016,1,4,1,"shot_yes","Cutting Layup Shot","2PT Field Goal",1,"New Orleans Pelicans",1,16,"Draymond Green",8
"45","Golden State Warriors","12/1/16",2016,1,5,41,"shot_yes","Cutting Layup Shot","2PT Field Goal",1,"Houston Rockets",-7,13,"Draymond Green",7
"46","Golden State Warriors","2/1/17",2016,4,10,36,"shot_no","Driving Bank Hook Shot","2PT Field Goal",7,"Charlotte Hornets",64,38,"Draymond Green",38
"47","Golden State Warriors","11/13/16",2016,1,3,52,"shot_no","Driving Bank shot","2PT Field Goal",6,"Phoenix Suns",53,43,"Draymond Green",9
"48","Golden State Warriors","12/20/16",2016,1,6,47,"shot_no","Driving Bank shot","2PT Field Goal",10,"Utah Jazz",92,46,"Draymond Green",6
"49","Golden State Warriors","3/31/17",2016,2,3,5,"shot_yes","Driving Bank shot","2PT Field Goal",4,"Houston Rockets",-9,46,"Draymond Green",21
"50","Golden State Warriors","12/30/16",2016,1,5,57,"shot_yes","Driving Bank shot","2PT Field Goal",3,"Dallas Mavericks",-9,31,"Draymond Green",7
"51","Golden State Warriors","11/7/16",2016,4,5,17,"shot_yes","Driving Bank shot","2PT Field Goal",7,"New Orleans Pelicans",12,77,"Draymond Green",43
"52","Golden State Warriors","4/4/17",2016,2,4,56,"shot_yes","Driving Dunk Shot","2PT Field Goal",0,"Minnesota Timberwolves",0,1,"Draymond Green",20
"53","Golden State Warriors","2/28/17",2016,2,4,16,"shot_yes","Driving Dunk Shot","2PT Field Goal",0,"Washington Wizards",0,1,"Draymond Green",20
"54","Golden State Warriors","1/2/17",2016,2,3,42,"shot_yes","Driving Dunk Shot","2PT Field Goal",0,"Denver Nuggets",0,1,"Draymond Green",21
"55","Golden State Warriors","12/1/16",2016,4,4,7,"shot_yes","Driving Dunk Shot","2PT Field Goal",0,"Houston Rockets",0,1,"Draymond Green",44
"56","Golden State Warriors","2/11/17",2016,4,10,15,"shot_no","Driving Dunk Shot","2PT Field Goal",0,"Oklahoma City Thunder",0,1,"Draymond Green",38
"57","Golden State Warriors","2/10/17",2016,4,10,11,"shot_no","Driving Dunk Shot","2PT Field Goal",0,"Memphis Grizzlies",4,2,"Draymond Green",38
"58","Golden State Warriors","3/18/17",2016,2,4,43,"shot_yes","Driving Dunk Shot","2PT Field Goal",0,"Milwaukee Bucks",0,1,"Draymond Green",20
